layer_name,bit_position,auroc,fpr,detection_error,auroc_fi,fpr_fi,detection_error_fi
conv1,0,90.32,39.29,15.84,90.32,39.29,15.84
conv1,1,90.32,39.29,15.84,90.32,39.29,15.84
conv1,2,90.32,39.29,15.84,90.32,39.29,15.84
conv1,3,90.32,39.29,15.84,90.32,39.29,15.84
conv1,4,90.32,39.29,15.84,90.32,39.29,15.84
conv1,5,90.32,39.29,15.84,90.32,39.29,15.84
conv1,6,90.32,39.29,15.84,90.32,39.31,15.84
conv1,7,90.32,39.29,15.84,90.32,39.29,15.84
conv1,8,90.32,39.29,15.84,90.32,39.29,15.84
conv1,9,90.32,39.29,15.84,90.32,39.29,15.84
conv1,10,90.32,39.29,15.84,90.32,39.29,15.84
conv1,11,90.32,39.29,15.84,90.32,39.29,15.84
conv1,12,90.32,39.29,15.84,90.32,39.29,15.84
conv1,13,90.32,39.29,15.84,90.32,39.29,15.84
conv1,14,90.32,39.29,15.84,90.32,39.29,15.84
conv1,15,90.32,39.29,15.84,90.32,39.29,15.84
conv1,16,90.32,39.29,15.84,90.32,39.3,15.84
conv1,17,90.32,39.29,15.84,90.32,39.31,15.84
conv1,18,90.32,39.29,15.84,90.32,39.31,15.84
conv1,19,90.32,39.29,15.84,90.32,39.29,15.84
conv1,20,90.32,39.29,15.84,90.32,39.29,15.84
conv1,21,90.32,39.29,15.84,90.32,39.3,15.84
conv1,22,90.32,39.29,15.84,90.32,39.28,15.84
conv1,23,90.32,39.29,15.84,90.32,39.09,15.85
conv1,24,90.32,39.29,15.84,90.32,39.27,15.84
conv1,25,90.32,39.29,15.84,90.31,39.24,15.85
conv1,26,90.32,39.29,15.84,90.22,39.95,15.93
conv1,27,90.32,39.29,15.84,90.26,39.11,15.87
conv1,28,90.32,39.29,15.84,90.29,39.33,15.83
conv1,29,90.32,39.29,15.84,90.27,39.16,15.85
conv1,30,90.32,39.29,15.84,72.52,65.3,25.24
conv1,31,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,0,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,1,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,2,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,3,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,4,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,5,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,6,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,7,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,8,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,9,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,10,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,11,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,12,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,13,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,14,90.32,39.29,15.84,90.32,39.3,15.84
layer1.0.conv1,15,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,16,90.32,39.29,15.84,90.32,39.28,15.84
layer1.0.conv1,17,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,18,90.32,39.29,15.84,90.32,39.31,15.84
layer1.0.conv1,19,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,20,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv1,21,90.32,39.29,15.84,90.32,39.3,15.84
layer1.0.conv1,22,90.32,39.29,15.84,90.32,39.24,15.82
layer1.0.conv1,23,90.32,39.29,15.84,90.32,39.3,15.82
layer1.0.conv1,24,90.32,39.29,15.84,90.32,39.28,15.84
layer1.0.conv1,25,90.32,39.29,15.84,90.32,39.32,15.84
layer1.0.conv1,26,90.32,39.29,15.84,90.32,39.26,15.84
layer1.0.conv1,27,90.32,39.29,15.84,90.35,39.11,15.82
layer1.0.conv1,28,90.32,39.29,15.84,90.32,39.45,15.83
layer1.0.conv1,29,90.32,39.29,15.84,90.32,39.28,15.84
layer1.0.conv1,30,90.32,39.29,15.84,78.54,45.55,21.71
layer1.0.conv1,31,90.32,39.29,15.84,90.32,39.35,15.84
layer1.0.conv2,0,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,1,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,2,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,3,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,4,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,5,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,6,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,7,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,8,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,9,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,10,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,11,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,12,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,13,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,14,90.32,39.29,15.84,90.32,39.31,15.84
layer1.0.conv2,15,90.32,39.29,15.84,90.32,39.31,15.84
layer1.0.conv2,16,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,17,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,18,90.32,39.29,15.84,90.32,39.31,15.84
layer1.0.conv2,19,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,20,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,21,90.32,39.29,15.84,90.32,39.29,15.84
layer1.0.conv2,22,90.32,39.29,15.84,90.32,39.33,15.84
layer1.0.conv2,23,90.32,39.29,15.84,90.32,39.33,15.84
layer1.0.conv2,24,90.32,39.29,15.84,90.32,39.42,15.82
layer1.0.conv2,25,90.32,39.29,15.84,90.33,39.25,15.82
layer1.0.conv2,26,90.32,39.29,15.84,90.32,39.27,15.84
layer1.0.conv2,27,90.32,39.29,15.84,90.36,39.22,15.79
layer1.0.conv2,28,90.32,39.29,15.84,90.32,39.2,15.84
layer1.0.conv2,29,90.32,39.29,15.84,90.32,39.28,15.83
layer1.0.conv2,30,90.32,39.29,15.84,76.06,49.14,24.32
layer1.0.conv2,31,90.32,39.29,15.84,90.32,39.28,15.82
layer1.1.conv1,0,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,1,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,2,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,3,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv1,4,90.32,39.29,15.84,90.32,39.29,15.84
